"ID","City","State","Latitude (º)","Longitude (º)","Altitude (m)","Annual mean dry bulb temperature (ºC)","Annual mean dew point temperature (ºC)","Annual mean relative humidity (%)","Annual mean atmospheric pressure (Pa)","Annual mean global horizontal radiation (Wh/m²)","Annual mean direct normal radiation (Wh/m²)","Annual mean diffuse horizontal radiation (Wh/m²)","Annual mean wind speed (m/s)"
"_AC_Feijo AP","Feijó AP","AC",-8.14,-70.34,163,26.0758219178082,22.3006849315069,80.912100456621,99262.605022831,192.655251141552,71.0748858447489,100.246232876712,1.27269406392694
"_AC_Parque Chandless","Parque Estadual Chandless","AC",-9.37,-69.93,206,24.8712100456621,22.2152511415525,86.3844748858448,99038.0337899543,161.721917808219,54.8711187214612,93.863698630137,0.400536529680365
"_AC_Porto Walter","Porto Walter","AC",-8.27,-72.74,240,26.3634703196347,22.1990753424658,79.3345890410959,98763.7340182648,198.330707762557,77.8954337899543,100.577054794521,1.23713470319635
"_AC_Rio Branco","Rio Branco","AC",-9.96,-68.17,220,25.1166210045662,21.8362671232877,82.8770547945205,98510.2294520548,186.502168949772,67.6859589041096,98.0635844748858,1.42735159817352
"_AL_Arapiraca AP","Arapiraca AP","AL",-9.8,-36.62,241,24.8429908675799,20.4594634703196,78.7090182648402,98660.6404109589,220.983561643836,92.5393835616438,105.652853881279,2.79300228310502
"_AL_Coruripe","Coruripe","AL",-10.13,-36.29,74,25.7209817351598,21.671894977169,79.2786529680365,100418.596461187,223.159360730594,95.739497716895,104.197146118721,2.21550228310502
"_AL_Maceio","Maceió","AL",-9.67,-35.74,64,25.5224315068493,21.3900342465753,78.8926940639269,100435.019406393,234.432077625571,109.973059360731,97.8465753424658,2.74382420091324
"_AL_Palmeira dos Indios","Palmeira dos Índios","AL",-9.41,-36.63,275,25.2792123287671,19.4647260273973,72.7297945205479,98181.9697488584,224.375228310502,97.0415525114155,102.33002283105,2.68146118721461
"_AL_Pao de Acucar","Pão de Açúcar","AL",-9.75,-37.44,19,27.2817351598174,20.4041438356164,69.4912100456621,101068.667808219,238.289155251142,112.913356164384,97.8848173515982,1.81989726027397
"_AL_Sao Luis do Quitunde","São Luís do Quitunde","AL",-9.29,-35.57,19,25.4221118721461,21.821700913242,81.888698630137,101202.565639269,196.533333333333,67.2276255707763,112.122602739726,1.70268264840183
"_AM_Autazes","Autazes","AM",-3.58,-59.13,28,26.5048287671233,23.302203196347,83.5474885844749,100762.827853881,175.827511415525,59.5327625570776,100.909703196347,0.781050228310502
"_AM_Barcelos AP","Barcelos AP","AM",-0.99,-62.92,17,26.2698059360731,23.2852168949772,84.8318493150685,100657.735159817,194.301141552511,77.8907534246575,96.4821917808219,0.951461187214612
"_AM_Coari","Coari","AM",-4.1,-63.15,43,26.2509589041096,23.0066552511416,83.223401826484,100593.360730594,191.106849315069,73.7461187214612,98.1735159817352,1.19794520547945
"_AM_Humaita AP","Humaitá AP","AM",-7.55,-63.07,72,26.2850799086758,22.7879452054795,82.4888127853881,100400.006849315,180.782077625571,61.6408675799087,101.648401826484,1.26057077625571
"_AM_Itacoatiara AP","Itacoatiara AP","AM",-3.13,-58.48,45,26.4294292237443,23.4040068493151,83.9869863013699,100519.742579909,181.729337899543,65.6972602739726,99.8417808219178,1.02526255707763
"_AM_Manacapuru","Manacapuru","AM",-3.29,-60.63,19,26.7001712328767,22.9780936073059,80.7724885844749,100550.529908676,186.771232876712,71.3291095890411,97.3013698630137,1.49776255707763
"_AM_Manaus-Gomez Intl AP","Manaus-Gomez Intl AP","AM",-3.1,-60.03,67,27.2794748858447,23.352203196347,80.3614155251142,100400.529908676,196.463356164384,80.1631278538813,97.4001141552511,1.40110730593607
"_AM_Maues","Maués","AM",-3.4,-57.67,35,26.5730136986301,23.725799086758,84.8825342465753,100728.166666667,189.255365296804,67.9487442922374,104.229452054795,0.700342465753425
"_AM_Parintins","Parintins","AM",-2.64,-56.76,35,27.4900684931507,23.418595890411,79.4841324200913,100750.191210046,206.836073059361,91.5931506849315,94.4215753424658,1.24286529680365
"_AM_Presidente Figueiredo","Presidente Figueiredo","AM",-2.06,-60.03,92,26.644303652968,22.7349771689498,81.2051369863014,100286.159246575,172.243835616438,55.0369863013699,103.865639269406,0.7662100456621
"_AM_Urucara AP","Urucará AP","AM",-2.53,-57.76,17,27.4612328767123,23.2167808219178,78.8675799086758,100780.748287671,202.695662100457,85.0890410958904,97.1439497716895,1.1401598173516
"_AP_Macapa-Alcolumbre Intl AP","Macapá-Alcolumbre Intl AP","AP",0.04,-51.07,15,25.7781735159817,22.5373744292237,83.072602739726,100290.945547945,170.942579908676,50.9067351598174,107.62397260274,1.25558219178082
"_AP_Oiapoque","Oiapoque","AP",3.81,-51.86,21,25.5621917808219,22.6130593607306,85.1615296803653,101005.597031963,179.978196347032,61.549200913242,102.979337899543,1.04703196347032
"_AP_Porto Grande","Porto Grande","AP",0.7,-51.41,77,25.7781735159817,22.5377625570776,83.072602739726,100290.945547945,170.950684931507,50.9296803652968,107.609246575342,1.25558219178082
"_AP_Tartarugalzinho","Tartarugalzinho","AP",1.5,-50.92,21,25.992203196347,22.57899543379,82.9617579908676,100899.609931507,185.233447488584,66.2793378995434,103.101484018265,2.0760502283105
"_BA_Amargosa AP","Amargosa AP","BA",-13.01,-39.62,407,23.1756506849315,19.2554337899543,79.9686073059361,97027.4594748859,211.837899543379,84.810502283105,104.440296803653,3.03675799086758
"_BA_Barra AP","Barra AP","BA",-11.08,-43.14,403,26.7922260273973,17.2039155251142,59.4057077625571,96594.5719178082,251.862785388128,127.807191780822,90.721803652968,1.71820776255708
"_BA_Barreiras","Barreiras","BA",-12.15,-44.99,470,25.1249315068493,15.5750799086758,60.0837899543379,95910.577283105,237.473630136986,112.754223744292,93.5253424657534,1.66503424657534
"_BA_Belmonte","Belmonte","BA",-16.09,-39.22,88,23.78600456621,20.6017694063927,83.7284246575342,100459.158675799,211.329337899543,82.7622146118722,103.127739726027,1.64944063926941
"_BA_Bom Jesus da Lapa AP","Bom Jesus da Lapa AP","BA",-13.26,-43.42,440,26.248196347032,15.1485730593607,54.2205479452055,96212.5125570776,236.009931506849,110.514611872146,95.296803652968,1.55199771689498
"_BA_Brumado","Brumado","BA",-14.18,-41.67,470,25.1665410958904,18.0428196347032,66.3465753424658,96056.0228310502,219.540068493151,98.6416666666667,95.2694063926941,1.43590182648402
"_BA_Buritirama AP","Buritirama AP","BA",-10.72,-43.65,502,25.4376255707763,16.953698630137,63.9165525114155,95524.4783105023,231.265753424658,105.605136986301,96.976598173516,1.99100456621005
"_BA_Caravelas","Caravelas","BA",-17.73,-39.2,3,25.0206392694064,21.1260273972603,79.6115296803653,101469.537442922,217.302739726027,94.9259132420091,94.7525114155251,2.44880136986301
"_BA_Conde","Conde","BA",-11.81,-37.62,14,25.9344863013699,21.6538470319635,77.9611872146119,101263.181849315,233.27203196347,109.207077625571,97.5877853881279,2.39647260273973
"_BA_Correntina","Correntina","BA",-13.33,-44.62,549,23.8213470319635,15.5892465753425,65.5777397260274,95059.4876712329,235.788127853881,111.326712328767,94.0906392694064,1.46456621004566
"_BA_Cruz das Almas","Cruz das Almas","BA",-12.67,-39.1,226,23.9233447488584,19.8083447488584,79.1003424657534,98968.9892694064,204.160388127854,73.9827625570776,109.804908675799,2.91663242009132
"_BA_Delfino","Delfino","BA",-10.46,-41.21,637,23.843196347032,16.3952625570776,66.2408675799087,94074.4663242009,214.471118721461,93.9985159817352,98.4340182648402,2.45123287671233
"_BA_Euclides da Cunha","Euclides da Cunha","BA",-10.54,-39,432,24.108299086758,18.3350570776256,73.3356164383562,96470.3597031963,212.949657534247,86.4479452054795,105.841666666667,3.27570776255708
"_BA_Feira de Santana","Feira de Santana","BA",-12.27,-38.97,231,24.5978082191781,19.9172945205479,77.2802511415525,98799.4307077626,199.422945205479,74.0793378995434,103.61700913242,2.50521689497717
"_BA_Guanambi AP","Guanambi AP","BA",-14.21,-42.75,551,25.6521461187215,16.1538356164384,58.7141552511416,95061.4937214612,247.699657534247,123.966894977169,89.7288812785388,3.23989726027397
"_BA_Ibotirama","Ibotirama","BA",-12.19,-43.21,430,26.7318721461187,15.9009931506849,56.9574200913242,96389.1198630137,241.838242009132,116.195433789954,94.4799086757991,2.22986301369863
"_BA_Ilheus","Ilhéus","BA",-14.79,-39.05,78,23.4486073059361,20.5972374429224,84.6042237442922,100609.240068493,202.482305936073,75.7286529680365,105.532876712329,2.00445205479452
"_BA_Ipiau","Ipiaú","BA",-14.14,-39.73,135,24.5624885844749,20.5930479452055,80.4866438356164,99932.497260274,212.9100456621,86.7575342465753,103.012100456621,1.48190639269406
"_BA_Irece AP","Irecê AP","BA",-11.33,-41.86,755,23.9452511415525,16.3421347031963,64.5398401826484,92772.8002283105,242.370319634703,116.040182648402,95.6898401826484,2.58865296803653
"_BA_Itaberaba","Itaberaba","BA",-12.53,-40.31,250,24.9297831050228,19.3959589041096,73.5319634703196,98950.9606164384,200.302625570776,78.5745433789954,102.101255707763,2.18932648401826
"_BA_Itapetinga","Itapetinga","BA",-15.24,-40.24,279,24.6742351598173,19.174497716895,74.4190639269406,98311.8953196347,212.652739726027,87.1690639269406,101.559246575342,2.13638127853881
"_BA_Itirucu","Itiruçu","BA",-13.53,-40.15,756,21.0603767123288,17.4191095890411,81.462100456621,93054.7043378995,195.141210045662,70.5615296803653,105.80399543379,2.66211187214612
"_BA_Jacobina","Jacobina","BA",-11.21,-40.47,453,24.3623744292237,18.0789611872146,70.5643835616438,96381.8139269406,200.419063926941,78.6194063926941,102.456735159817,1.83025114155251
"_BA_Lencois","Lençóis","BA",-12.56,-41.39,439,24.8549315068493,18.056095890411,68.6315068493151,96443.5017123288,193.359474885845,71.7504566210046,98.1477168949772,1.16860730593607
"_BA_Macajuba","Macajuba","BA",-12.14,-40.36,380,24.0560502283105,18.5379109589041,73.8828767123288,97490.9606164384,200.848515981735,79.1364155251142,102.044748858447,2.78473744292237
"_BA_Marau","Maraú","BA",-13.91,-38.97,10,25.6739383561644,21.8040525114155,79.560502283105,101386.070319635,228.65,106.236643835616,95.8905251141553,2.23367579908676
"_BA_Paulo Afonso","Paulo Afonso","BA",-9.41,-38.22,253,26.3247260273973,18.0193264840183,63.4697488584475,98462.2831050228,227.416324200913,101.218835616438,102.229566210046,4.27279680365297
"_BA_Piata","Piatã","BA",-13.16,-41.77,1290,19.7969634703196,14.4267123287671,73.183105022831,87465.9891552511,213.708789954338,96.2020547945205,93.7521689497717,2.37406392694064
